country_code,year,Current US Dollars
USA,2014,17600000000000.0
USA,2013,16900000000000.0
USA,2012,16300000000000.0
USA,2011,15600000000000.0
USA,2010,15000000000000.0
USA,2009,14500000000000.0
USA,2008,14800000000000.0
USA,2007,14500000000000.0
USA,2006,13800000000000.0
USA,2005,13000000000000.0
USA,2004,12200000000000.0
USA,2003,11500000000000.0
USA,2002,10900000000000.0
USA,2001,10600000000000.0
USA,2000,10300000000000.0
USA,1999,9630000000000.0
USA,1998,9060000000000.0
USA,1997,8580000000000.0
USA,1996,8070000000000.0
USA,1995,7640000000000.0
USA,1994,7290000000000.0
USA,1993,6860000000000.0
USA,1992,6520000000000.0
USA,1991,6160000000000.0
USA,1990,5960000000000.0
RUS,2014,2060000000000.0
RUS,2013,2290000000000.0
RUS,2012,2210000000000.0
RUS,2011,2050000000000.0
RUS,2010,1520000000000.0
RUS,2009,1220000000000.0
RUS,2008,1660000000000.0
RUS,2007,1300000000000.0
RUS,2006,990000000000.0
RUS,2005,764000000000.0
RUS,2004,591000000000.0
RUS,2003,430000000000.0
RUS,2002,345000000000.0
RUS,2001,307000000000.0
RUS,2000,260000000000.0
RUS,1999,196000000000.0
RUS,1998,271000000000.0
RUS,1997,405000000000.0
RUS,1996,392000000000.0
RUS,1995,396000000000.0
RUS,1994,395000000000.0
RUS,1993,435000000000.0
RUS,1992,460000000000.0
RUS,1991,518000000000.0
RUS,1990,517000000000.0
JPN,2014,4900000000000.0
JPN,2013,5210000000000.0
JPN,2012,6270000000000.0
JPN,2011,6230000000000.0
JPN,2010,5760000000000.0
JPN,2009,5290000000000.0
JPN,2008,5110000000000.0
JPN,2007,4580000000000.0
JPN,2006,4600000000000.0
JPN,2005,4830000000000.0
JPN,2004,4890000000000.0
JPN,2003,4520000000000.0
JPN,2002,4180000000000.0
JPN,2001,4370000000000.0
JPN,2000,4970000000000.0
JPN,1999,4640000000000.0
JPN,1998,4100000000000.0
JPN,1997,4490000000000.0
JPN,1996,4920000000000.0
JPN,1995,5550000000000.0
JPN,1994,5000000000000.0
JPN,1993,4540000000000.0
JPN,1992,3980000000000.0
JPN,1991,3650000000000.0
JPN,1990,3190000000000.0
ITA,2014,2160000000000.0
ITA,2013,2140000000000.0
